Time,Simulate
0,1
0,1
0,1
0,1
2,1
7,1
12,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
1,1
0,1
0,1
3,1
0,1
43,1
0,1
0,1
2,1
10,1
342,1
13,1
3,1
1,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
1,1
0,1
0,1
4,1
1,1
0,1
0,1
9,1
4,1
34,1
0,1
0,1
2,1
2,1
3,1
0,1
0,1
4,1
0,1
0,1
2,1
0,1
5,1
0,1
1,1
1,1
0,1
8,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
4,1
0,1
0,1
3,1
0,1
0,1
1,1
1,1
6,1
2,1
1,1
0,1
0,1
0,1
4,1
28,1
0,1
0,1
0,1
0,1
2,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
2,1
0,1
1,1
1,1
6,1
1,1
6,1
0,1
2,1
3,1
0,1
0,1
0,1
0,1
0,1
0,1
2,1
1,1
0,1
8,1
11,1
0,1
0,1
0,1
11,1
0,1
0,1
1,1
99,1
2,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
4,1
1,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
3,1
17,1
7,1
0,1
15,1
0,1
0,1
0,1
349,1
11,1
0,1
0,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
2,1
0,1
0,1
2,1
0,1
0,1
1,1
0,1
5,1
2,1
0,1
2,1
2,1
43,1
2,1
3,1
0,1
37,1
5,1
0,1
0,1
0,1
5,1
0,1
0,1
67,1
31,1
1,1
3,1
0,1
1194,1
2,1
0,1
2,1
1,1
4,1
0,1
0,1
0,1
12,1
1,1
0,1
2,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
4,1
3,1
5,1
4,1
3,1
0,1
1,1
0,1
0,1
0,1
1,1
4,1
1,1
10,1
7,1
2,1
3,1
0,1
2,1
1,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
0,1
3,1
0,1
4,1
0,1
0,1
0,1
2,1
3,1
2,1
0,1
0,1
1,1
2,1
2,1
0,1
4,1
0,1
0,1
0,1
0,1
0,1
4,1
22,1
3,1
0,1
0,1
0,1
0,1
0,1
5,1
1,1
0,1
0,1
2,1
3,1
2,1
0,1
0,1
0,1
0,1
13,1
12,1
2,1
1,1
3,1
10,1
0,1
3,1
0,1
3,1
2,1
0,1
0,1
1,1
64,1
5,1
0,1
1,1
0,1
0,1
1,1
2,1
30,1
0,1
0,1
0,1
3,1
1,1
0,1
0,1
0,1
1,1
0,1
0,1
33,1
11,1
0,1
0,1
4,1
4,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
3,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
16,1
27,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
3,1
3,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
38,1
2,1
9,1
2,1
2,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
3,1
2,1
0,1
25,1
30,1
1,1
0,1
1,1
1549,1
51,1
0,1
0,1
0,1
1,1
0,1
4,1
1,1
0,1
0,1
0,1
0,1
10,1
8,1
0,1
1,1
4,1
0,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
1,1
2,1
0,1
7,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
4,1
1,1
-1,1
-1,1
-1,1
-1,1
0,1
1,1
1,1
0,1
0,1
0,1
1,1
2,1
0,1
5,1
3,1
1,1
0,1
0,1
11,1
0,1
419,1
23,1
1,1
0,1
3,1
0,1
0,1
1,1
0,1
0,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
1,1
0,1
0,1
0,1
3,1
0,1
156,1
4,1
1,1
3,1
22,1
2,1
0,1
0,1
2,1
0,1
4,1
1,1
0,1
0,1
0,1
0,1
1,1
0,1
5,1
1,1
3,1
0,1
0,1
0,1
0,1
1,1
2,1
0,1
4,1
0,1
10,1
2,1
0,1
0,1
1,1
1,1
0,1
0,1
0,1
16,1
7,1
0,1
0,1
0,1
3,1
3,1
0,1
0,1
0,1
2,1
1,1
3,1
0,1
0,1
2,1
0,1
7,1
4,1
1,1
0,1
0,1
0,1
4,1
0,1
1,1
1,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
3,1
0,1
3,1
0,1
1,1
3,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
2,1
0,1
2,1
0,1
10,1
4,1
1,1
2,1
6,1
151,1
5,1
0,1
1,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
28,1
1,1
0,1
0,1
1,1
0,1
2,1
10,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
0,1
0,1
1,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
0,1
4,1
6,1
1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
0,1
29,1
4,1
0,1
1,1
0,1
1,1
2,1
6,1
0,1
1,1
5,1
3,1
0,1
1,1
1,1
0,1
0,1
2,1
0,1
0,1
0,1
1,1
47,1
18,1
0,1
1,1
3,1
2,1
0,1
0,1
0,1
10,1
11,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
2,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
0,1
0,1
0,1
1,1
7,1
21,1
0,1
4,1
0,1
0,1
19,1
4,1
5,1
0,1
6,1
0,1
0,1
0,1
1,1
0,1
1,1
5,1
2,1
0,1
0,1
3,1
4,1
1,1
2,1
0,1
0,1
1,1
0,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
1,1
3,1
2,1
0,1
0,1
1,1
0,1
0,1
0,1
0,1
1,1
1,1
0,1
0,1
1,1
0,1
3,1
290,1
19,1
0,1
1,1
0,1
0,1
1,1
1,1
2,1
1,1
0,1
0,1
0,1
1,1
0,1
1,1
0,1
4,1
0,1
0,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
-1,1
0,1
2,1
1,1
14,1
1,1
3,1
0,1
0,1
3,1
782,1
22,1
1,1
1,1
11,1
3,1
0,1
0,1
9,1
0,1
0,1
0,1
0,1
35,1
9,1
1,1
2,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
11,1
0,1
0,1
0,1
0,1
1,1
4,1
2,1
1,1
6,1
1,1
0,1
0,1
0,1
0,1
513,1
35,1
0,1
0,1
0,1
1,1
1,1
1,1
0,1
8,1
0,1
0,1
1,1
163,1
5,1
1,1
1,1
0,1
4,1
1,1
4,1
4,1
0,1
1,1
2,1
0,1
1,1
3,1
0,1
0,1
1,1
3,1
0,1
1,1
5,1
0,1
10,1
0,1
0,1
3,1
1,1
3,1
0,1
3,1
2,1
2,1
1,1
1,1
0,1
2,1
0,1
4,1
67,1
1,1
0,1
1,1
1,1
0,1
22,1
2,1
0,1
0,1
0,1
0,1
1,1
